"epoch: 102, PSNR: 20.362234726380766, SSIM: 0.7919015114227038, LPIPS: 0.15201514888178097, UCIQE: 0.41723740100860596, UIQM: 3.7355844974517822, best PSNR: 20.470267017235916, best epoch: 101"
"epoch: 103, PSNR: 20.548350044850554, SSIM: 0.7916868724180072, LPIPS: 0.1505927758689007, UCIQE: 0.40860825777053833, UIQM: 3.731022834777832, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 104, PSNR: 20.33580731809809, SSIM: 0.7890882994351762, LPIPS: 0.15082670601733614, UCIQE: 0.41419392824172974, UIQM: 3.7454512119293213, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 105, PSNR: 20.45819805445296, SSIM: 0.7928032962124, LPIPS: 0.15442081737551797, UCIQE: 0.40565791726112366, UIQM: 3.724285364151001, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 106, PSNR: 20.191634253169713, SSIM: 0.7890498196141104, LPIPS: 0.15620035343290714, UCIQE: 0.3977908194065094, UIQM: 3.721169948577881, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 107, PSNR: 20.485919577352117, SSIM: 0.7945708096697089, LPIPS: 0.14856129717291072, UCIQE: 0.41109946370124817, UIQM: 3.7424330711364746, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 108, PSNR: 20.29534539212002, SSIM: 0.7904153660442053, LPIPS: 0.15582817713363786, UCIQE: 0.39921998977661133, UIQM: 3.7324061393737793, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 109, PSNR: 20.456246129582436, SSIM: 0.7956262786736649, LPIPS: 0.15666649724995152, UCIQE: 0.40596380829811096, UIQM: 3.7340030670166016, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 110, PSNR: 20.281303812948504, SSIM: 0.7923432300599773, LPIPS: 0.1522421481904019, UCIQE: 0.42166343331336975, UIQM: 3.745931625366211, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 111, PSNR: 20.532769085316176, SSIM: 0.7970272858491104, LPIPS: 0.15148274240533957, UCIQE: 0.4208465814590454, UIQM: 3.7443132400512695, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 112, PSNR: 20.51949196719052, SSIM: 0.7970628175842628, LPIPS: 0.14781744660956136, UCIQE: 0.4222135841846466, UIQM: 3.7453551292419434, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 113, PSNR: 20.491869862159987, SSIM: 0.7960972484577907, LPIPS: 0.14701158465461783, UCIQE: 0.4147752821445465, UIQM: 3.7414917945861816, best PSNR: 20.548350044850554, best epoch: 103"
"epoch: 114, PSNR: 20.643768385554967, SSIM: 0.798916354608, LPIPS: 0.14662260005480787, UCIQE: 0.4119563102722168, UIQM: 3.737722635269165, best PSNR: 20.643768385554967, best epoch: 114"
"epoch: 115, PSNR: 20.561577754074268, SSIM: 0.7970493964934617, LPIPS: 0.14809964492582203, UCIQE: 0.4185939431190491, UIQM: 3.7482049465179443, best PSNR: 20.643768385554967, best epoch: 114"
"epoch: 116, PSNR: 20.479119043671684, SSIM: 0.7969725594091951, LPIPS: 0.14814636504717088, UCIQE: 0.4102765619754791, UIQM: 3.7460148334503174, best PSNR: 20.643768385554967, best epoch: 114"
"epoch: 117, PSNR: 20.585981669050923, SSIM: 0.7993818186642079, LPIPS: 0.15083920537086015, UCIQE: 0.4068189561367035, UIQM: 3.7282586097717285, best PSNR: 20.643768385554967, best epoch: 114"
"epoch: 118, PSNR: 20.65971222352446, SSIM: 0.7998279413480437, LPIPS: 0.14343978113002992, UCIQE: 0.41516759991645813, UIQM: 3.7481682300567627, best PSNR: 20.65971222352446, best epoch: 118"
"epoch: 119, PSNR: 20.568841602025408, SSIM: 0.7988485948423322, LPIPS: 0.14414321731650429, UCIQE: 0.4217030107975006, UIQM: 3.749962091445923, best PSNR: 20.65971222352446, best epoch: 118"
"epoch: 120, PSNR: 20.48084379046151, SSIM: 0.797107500306676, LPIPS: 0.14882022447967796, UCIQE: 0.41754963994026184, UIQM: 3.7419285774230957, best PSNR: 20.65971222352446, best epoch: 118"
"epoch: 121, PSNR: 20.701945229862513, SSIM: 0.8010579515039251, LPIPS: 0.14587597892190632, UCIQE: 0.42636922001838684, UIQM: 3.7471044063568115, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 122, PSNR: 20.573668619220175, SSIM: 0.7992430637391765, LPIPS: 0.14561127862903508, UCIQE: 0.41006988286972046, UIQM: 3.7324531078338623, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 123, PSNR: 20.55650384238597, SSIM: 0.7990687650241209, LPIPS: 0.14259941683391505, UCIQE: 0.4126430153846741, UIQM: 3.742966651916504, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 124, PSNR: 20.657633427823527, SSIM: 0.7993887776739141, LPIPS: 0.14658021755265385, UCIQE: 0.41543176770210266, UIQM: 3.740725517272949, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 125, PSNR: 20.477354392576753, SSIM: 0.8002925736180851, LPIPS: 0.14578264541505428, UCIQE: 0.4197106659412384, UIQM: 3.740933895111084, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 126, PSNR: 20.611193485474317, SSIM: 0.8019135674733794, LPIPS: 0.14458447205049269, UCIQE: 0.4220331609249115, UIQM: 3.7483654022216797, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 127, PSNR: 20.619739982519256, SSIM: 0.8010866729061256, LPIPS: 0.1455087505615829, UCIQE: 0.41438499093055725, UIQM: 3.739083766937256, best PSNR: 20.701945229862513, best epoch: 121"
"epoch: 128, PSNR: 20.704159286584748, SSIM: 0.8022529797607594, LPIPS: 0.14241293336400826, UCIQE: 0.4231211245059967, UIQM: 3.754040002822876, best PSNR: 20.704159286584748, best epoch: 128"
"epoch: 129, PSNR: 20.15345118019018, SSIM: 0.7963077854574396, LPIPS: 0.14804974616913313, UCIQE: 0.40897876024246216, UIQM: 3.7448761463165283, best PSNR: 20.704159286584748, best epoch: 128"
